id,title,leetcode_url,pattern,difficulty,must_do,status,last_done,next_review_1,next_review_7,next_review_21,times_solved,notes_url,priority
NC150-001,Contains Duplicate,https://leetcode.com/problems/contains-duplicate/,Arrays & Hashing,Easy,TRUE,,,,,,,,
NC150-002,Valid Anagram,https://leetcode.com/problems/valid-anagram/,Arrays & Hashing,Easy,TRUE,,,,,,,,
NC150-003,Two Sum,https://leetcode.com/problems/two-sum/,Arrays & Hashing,Easy,TRUE,,,,,,,,
NC150-004,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Arrays & Hashing,Medium,TRUE,,,,,,,,
NC150-005,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/,Arrays & Hashing,Medium,TRUE,,,,,,,,
NC150-006,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/,Arrays & Hashing,Medium,TRUE,,,,,,,,
NC150-007,Valid Sudoku,https://leetcode.com/problems/valid-sudoku/,Arrays & Hashing,Medium,FALSE,,,,,,,,
NC150-008,Encode and Decode Strings,https://leetcode.com/problems/encode-and-decode-strings/,Arrays & Hashing,Medium,FALSE,,,,,,,,
NC150-009,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/,Arrays & Hashing,Medium,TRUE,,,,,,,,
NC150-010,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,Two Pointers,Easy,TRUE,,,,,,,,
NC150-011,Two Sum II Input Array Is Sorted,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,Two Pointers,Medium,TRUE,,,,,,,,
NC150-012,3Sum,https://leetcode.com/problems/3sum/,Two Pointers,Medium,TRUE,,,,,,,,
NC150-013,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,Two Pointers,Medium,TRUE,,,,,,,,
NC150-014,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Two Pointers,Hard,TRUE,,,,,,,,
NC150-015,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Sliding Window,Easy,TRUE,,,,,,,,
NC150-016,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Sliding Window,Medium,TRUE,,,,,,,,
NC150-017,Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement/,Sliding Window,Medium,TRUE,,,,,,,,
NC150-018,Permutation in String,https://leetcode.com/problems/permutation-in-string/,Sliding Window,Medium,TRUE,,,,,,,,
NC150-019,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,Sliding Window,Hard,FALSE,,,,,,,,
NC150-020,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/,Sliding Window,Hard,FALSE,,,,,,,,
NC150-021,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Stack,Easy,TRUE,,,,,,,,
NC150-022,Min Stack,https://leetcode.com/problems/min-stack/,Stack,Medium,TRUE,,,,,,,,
NC150-023,Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation/,Stack,Medium,TRUE,,,,,,,,
NC150-024,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,Stack,Medium,FALSE,,,,,,,,
NC150-025,Daily Temperatures,https://leetcode.com/problems/daily-temperatures/,Stack,Medium,TRUE,,,,,,,,
